Unnamed: 0_level_0,Unnamed: 1_level_0,Total,Total,Total,Total,Total,Total,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Name,Games,Count,Yards,Dismissed,Total Flags,Home,Away,Count,Yards,Dismissed,Total Flags,Home,Away
Adrian Hill,16,218,1777,43,261,108,110,13.63,111.06,2.69,16.31,6.75,6.88
Alan Eck,16,186,1619,28,214,92,94,11.63,101.19,1.75,13.38,5.75,5.88
Alex Kemp,17,231,1898,34,265,108,123,13.59,111.65,2.0,15.59,6.35,7.24
Bill Vinovich,17,197,1591,20,217,102,95,11.59,93.59,1.18,12.76,6.0,5.59
Brad Allen,17,207,1555,23,230,97,110,12.18,91.47,1.35,13.53,5.71,6.47
Brad Rogers,16,221,1741,33,254,115,106,13.81,108.81,2.06,15.88,7.19,6.63
Carl Cheffers,17,186,1501,43,229,81,105,10.94,88.29,2.53,13.47,4.76,6.18
Clay Martin,17,215,1766,55,270,96,119,12.65,103.88,3.24,15.88,5.65,7.0
Clete Blakeman,17,263,2197,40,303,139,124,15.47,129.24,2.35,17.82,8.18,7.29
Craig Wrolstad,17,252,2092,50,302,120,132,14.82,123.06,2.94,17.76,7.06,7.76
John Hussey,16,184,1582,29,213,95,89,11.5,98.88,1.81,13.31,5.94,5.56
Land Clark,17,191,1545,39,230,101,90,11.24,90.88,2.29,13.53,5.94,5.29
Ron Torbert,18,250,2092,52,302,129,121,13.89,116.22,2.89,16.78,7.17,6.72
Scott Novak,17,208,1610,29,237,100,108,12.24,94.71,1.71,13.94,5.88,6.35
Shawn Hochuli,17,235,1888,53,288,113,122,13.82,111.06,3.12,16.94,6.65,7.18
Shawn Smith,17,214,1660,43,257,98,116,12.59,97.65,2.53,15.12,5.76,6.82
Tra Blake,16,190,1430,45,235,101,89,11.88,89.38,2.81,14.69,6.31,5.56
Totals,285,3648,29544,659,4307,1795,1853,12.79,103.59,2.3,256.69,6.29,6.5
